episode_id,entity_type,canonical_name,mention_text,confidence,review_reason,platform,source_url,context_snippet
1352,software_product,Midjourney,Mid-Journey,0.9000,"Name variant uncertain, likely Midjourney",,,"Mid-Journey founder David Hulls wrote, I've done more personal coding projects over Christmas break than I have in the last ten years."
1352,other,Rare Candy NFT marketplace,Rare Candy NFT marketplace,0.7000,NFT marketplace mention; no locked type fits well,,,"Rare Candy NFT marketplace that said, A lot of y'all still don't get it."
1351,other,UK government AI training initiative,UK government AI training initiative,0.9000,Initiative named but no formal report or program name given; classified as 'other'.,,,The UK government has expanded their AI training initiative with an ambitious new goal to upskill every worker in the country.
1351,benchmark,Artificial Analysis,Artificial Analysis,0.9000,benchmark_retyped_from_context,,,Artificial Analysis provides benchmark analysis and ranking of Kimi K2.5.
1351,other,You Can With AI,You Can With AI,0.9000,Podcast mentioned but podcast is not a locked entity type; needs review.,,,Another podcast hosted by the speaker called You Can With AI from KPMG.
1353,account,Sam Altman,Sam Altman,0.9500,posting_context_retyped_to_account,x,,Sam Altman tweeted that they had added more than a billion in ARR over the last month just from their API business.
1353,other,Ralph Wiggum,Ralph Wiggum,0.8500,"Unclear if 'Ralph Wiggum' is a concept, model, or other; used as a coding loop name",,,"Zwicks shared this section of the blog post and nailed it when he wrote, Cursor independently invented the Ralph Wiggum loop to solve the problems they were seeing with parallel agent orchestration."
1353,other,bash loop,bash loop,0.9000,bash loop is a technical term but not a software product or model; considered 'other',,,"He wrote a blog post called Ralph Wiggum as a software engineer, and as he put it in his introductory blog post, in its purest form, Ralph is a bash loop."
1353,account,Ryan Carson,Ryan Carson,0.9000,posting_context_retyped_to_account,x,,"The idea of RALF as applied to AI coding was described by developer Ryan Carson in a post on X. He writes, Everyone is raving about RALF. What is it? RALF is an autonomous AI coding loop that ships features while you sleep."
1353,other,Startup Ideas podcast,Startup Ideas podcast,0.8500,Podcast name mentioned but unclear if it is a major reference or just context,,,The Startup Ideas podcast with Greg Eisenberg had Ryan on to explain it even more simply.
1353,account,Nat Eliason,Nat Eliason,0.9000,posting_context_retyped_to_account,x,,"Nat Eliason responded saying, yeah, those uses are a waste of its potential in my opinion. And Nat would know, because he went viral when he posted a picture of a Mac mini about a week ago and said, hired my first employee today."
1353,other,Mac mini,Mac mini,0.9000,Mac mini is hardware product but not software/model; categorized as other,,,"There were so many people in fact talking about putting Clawdbot on Mac minis that they actually tweeted a PSA, you do not need to buy a Mac mini to run Clawdbot."
1353,other,VibeCodeCamp,VibeCodeCamp,0.8500,"Unclear if VibeCodeCamp is an event, community, or software product; marked needs_review",,,Dan Shipper and the team at Evry recently did an 8-hour live stream with tons of really great VibeCoders talking about all the different things that they do.
1354,software_product,Replit,Repl.it,0.9000,Spelling variant 'Repl.it' vs 'Replit' needs confirmation,,,tools like Cloud Code and the vibe coding platforms like Repl.it and Lovable
1354,software_product,Lovable,Lovable,0.7000,Unclear if 'Lovable' is a software product or other entity,,,tools like Cloud Code and the vibe coding platforms like Repl.it and Lovable
1354,account,Sergey Karayev,Sergey Karayev,0.9000,posting_context_retyped_to_account,x,,He points to a tweet from Sergey Karayev that in his estimation captures the shift.
1355,other,Jevons paradox,Javon's paradox,0.8500,Spelling variant of Jevons paradox; classified as 'other'.,,,"Nadella is a firm believer in Javon's paradox when it comes to AI, implying cheaper AI drives up demand."
1357,other,You Can With AI,You Can With AI,0.9000,Unclear if podcast or software product,,,"Another podcast that I've had the privilege to host, which is called You Can With AI from KPMG."
1356,other,NVIDIA Blackwell,NVIDIA Blackwell chips,0.8500,NVIDIA Blackwell chips are hardware products but no exact software_product or model type; classified as 'other' conservatively.,,,The AI Overwatch Act includes a two-year ban on the export of NVIDIA's top-of-the-line Blackwell chips.
1356,survey,PricewaterhouseCoopers,PWC,0.9000,survey_retyped_from_context,,,"PWC survey of nearly 4,500 CEOs found 12% saw both cost and revenue benefits from AI, while 56% saw no significant financial benefit."
1356,survey,Workday,Workday,0.9000,survey_retyped_from_context,,,"Workday survey found employees spend significant time correcting AI-generated content, losing 37% of AI time savings to rework."
1356,survey,Section,Section,0.9000,survey_retyped_from_context,,,"Section report on AI proficiency shows 3% of employees proficient, 97% novices or experimenters, with many lacking tools or training."
1356,survey,The Wall Street Journal,Wall Street Journal,0.9000,survey_retyped_from_context,,,The Wall Street Journal summarized surveys showing a gap between executive and employee perceptions of AI efficiency and impact.
1358,other,Colossus 2,XAI's Colossus 2,0.9000,"Unclear if Colossus 2 is a software product, model, or hardware infrastructure; classified as 'other'.",,,"Colossus 2 datacenter draws more power than the city of San Francisco and contains 550,000 Blackwell GPUs."
1358,other,Carlisle datacenter,Anthropic and Amazon's Carlisle datacenter,0.8500,Unclear if datacenter is software or hardware infrastructure; classified as 'other'.,,,Carlisle datacenter is close to Colossus 2 in power capacity and expected to reach 1 gigawatt soon.
1358,other,Stargate Abilene,OpenAI's Stargate Abilene,0.8500,Unclear if Stargate Abilene is software or hardware infrastructure; classified as 'other'.,,,Stargate Abilene is an upcoming OpenAI datacenter expected in summer 2026.
1358,other,Elon Musk lawsuit against OpenAI and Microsoft,Elon Musk lawsuit,0.9000,"Legal case, not a typical entity type; classified as 'other'.",,,Musk's lawyers argue entitlement to a portion of OpenAI's $500 billion valuation due to $38 million seed funding donation in 2015.
1359,report,study,study,0.8500,Study source and details not specified,,,"One study, for example, found that chat GPT traffic converted at 16% as opposed to Google organics 1.76%, a 9x difference in the conversion rate."
1360,software_product,Open Evidence Deep Consult,open evidences deep consult,0.8000,Unclear exact product name and spelling,,,"In medicine, open evidences deep consult functions as a specialist."
1361,other,You Can With AI,You Can With AI,0.9000,podcast type not in locked taxonomy,,,"Another podcast that I have had the privilege to host, which is called You Can With AI from KPMG. Season one was designed to be a set of real stories from real leaders making AI work in their organizations."
1363,other,You Can With AI,You Can With AI,0.8500,Podcast mentioned but podcast is not in locked taxonomy; needs review if podcast is acceptable or should be 'other'.,,,Another podcast hosted by the speaker called You Can With AI from KPMG.
1363,account,Dan Mack,Dan Mack,0.8500,posting_context_retyped_to_account,x,,Dan Mack tweeted rumors about GPT 5.3 codenamed Garlic coming soon.
1363,account,Andrew Curran,Andrew Curran,0.8000,posting_context_retyped_to_account,x,,"Andrew Curran tweeted about chat acting differently, possibly due to new personality test group."
1363,account,VB,VB from OpenAI's developer experience team,0.7500,low_confidence,x,,VB's eyes emoji post sparked speculation about upcoming OpenAI model updates.
1363,other,OpenAI 2Go hardware project,OpenAI 2Go hardware project,0.7000,"Unclear if this is a software product, hardware product, or other; no locked type fits well.",,,Chinese consumer electronics blogger leaked details about OpenAI 2Go hardware project codenamed SweetPea.
1363,other,SweetPea,SweetPea,0.7000,"Hardware codename, unclear if product or project; no locked type fits well.",,,SweetPea is the codename for the OpenAI 2Go hardware audio product.
1363,model,Beluga,Beluga,0.7500,low_confidence,,,Beluga is a rumored codename for DeepSeek's next model release.
1362,account,Andrew Feldman,Andrew Feldman,0.9000,posting_context_retyped_to_account,x,,"Cerebris CEO Andrew Feldman posted, This has been a decade in the making. Deployment begins in early 2026 and when fully rolled out, it will be the largest high-speed AI inference deployment in the world."
1362,other,model context protocol,model context protocol,0.8000,"Unclear if this is a software product, protocol, or other entity type",,,"Connectors are ways to link things like Google Drive, obviously powered by the model context protocol."
1362,other,X (formerly Twitter),xslash twitter,0.8500,Unclear if 'xslash twitter' is an account or platform mention; likely platform X,x,,The unique personal context that Grok has access to is everything that happens in and around xslash twitter.
1362,other,Apple AirPods,Apple AirPods,0.8500,Entity type unclear; product hardware device but AI related,,,One thing that Apple did last year that did capture people's attention was the new live translation feature they announced for Apple AirPods.
1364,other,OpenAI Dev Day 2023,OpenAI Dev Day 2023,0.8000,Event type not in locked taxonomy,,,"OpenAI Dev Day 2023, text-to-speech launch, people said it would kill 11 labs and similar startups."
1366,other,Capital in the Twenty-First Century,Capital in the 21st Century,0.9000,Entity type 'book' is not in locked taxonomy; consider 'paper' or 'report' or 'other'.,,,"Dwarkesh and Philip write, In his 2013 Capital in the 21st Century, the socialist economist Thomas Piketty argued that..."
1366,software_product,ChatGPT,ChatsGBT,0.7000,Mentioned as LLM but 'ChatsGBT' likely a mispronunciation or typo of 'ChatGPT'; needs review.,,,"On the one hand, AI is one of the greatest gifts ever in terms of topics to cover. On the other hand, LLMs in particular are quite literally content producers. What's the point of writing analysis when ChatsGBT or Gemini or Cloud will deliver analysis on demand about any topic you want?"
1366,account,Shobham Sabu,Shobham Sabu,0.9500,posting_context_retyped_to_account,x,,"Google's senior AI product manager, Shobham Sabu, wrote a piece on X called The Modern AI PM in the Age of Agents."
1366,software_product,Replit,Repl.it,0.9000,Name variant 'Repl.it' vs 'Replit'; needs review for canonical name.,,,"Nowhere is this more true than in AI development platforms like Repl.it. At scale, these platforms will make life start to feel like you're progressing through a game."
1368,survey,Salesforce,Salesforce,0.9000,survey_retyped_from_context,,,Salesforce reports a huge uptick in AI shopping in their annual holiday survey with 12% global growth and 9% in the U.S.
